text,pramana_label,strength_label,review_status,reviewer_notes
"In science, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In technology, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In education, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In medicine, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In politics, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In philosophy, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In legal reasoning, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In public debate, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In social media discourse, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In news analysis, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"In daily life, a direct check showed the instrument reading drifting outside tolerance during the run.",Pratyaksha,weak,approved,master seed v1
"During the science walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the technology walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the education walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the medicine walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the politics walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the philosophy walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the legal reasoning walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the public debate walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the social media discourse walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the news analysis walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
"During the daily life walkthrough, we could hear intermittent clicking from the enclosure with no load applied.",Pratyaksha,weak,approved,master seed v1
Field notes from science record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from technology record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from education record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from medicine record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from politics record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from philosophy record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from legal reasoning record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from public debate record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from social media discourse record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from news analysis record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
Field notes from daily life record visible condensation on the cold line within minutes of startup.,Pratyaksha,weak,approved,master seed v1
"Across science, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across technology, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across education, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across medicine, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across politics, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across philosophy, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across legal reasoning, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across public debate, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across social media discourse, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across news analysis, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"Across daily life, the measured curve stayed flat until the threshold, then rose sharply in two trials.",Pratyaksha,weak,approved,master seed v1
"In science, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In technology, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In education, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In medicine, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In politics, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In philosophy, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In legal reasoning, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In public debate, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In social media discourse, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In news analysis, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"In daily life, the leading indicator moved first; therefore the downstream effect is the plausible explanation.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in science, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in technology, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in education, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in medicine, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in politics, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in philosophy, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in legal reasoning, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in public debate, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in social media discourse, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in news analysis, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Given repeated failures only under load in daily life, congestion is more likely than a random bug.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in science, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in technology, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in education, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in medicine, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in politics, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in philosophy, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in legal reasoning, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in public debate, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in social media discourse, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in news analysis, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Because the control arm improved while the treatment arm flatlined in daily life, the intervention may lack efficacy.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in science, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in technology, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in education, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in medicine, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in politics, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in philosophy, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in legal reasoning, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in public debate, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in social media discourse, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in news analysis, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"Since the premise set is ambiguous in daily life, interpreters will default to the narrower reading.",Anumana,weak,approved,master seed v1
"In science, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In technology, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In education, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In medicine, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In politics, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In philosophy, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In legal reasoning, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In public debate, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In social media discourse, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In news analysis, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"In daily life, the feedback loop behaves like a thermostat hunting around a noisy setpoint.",Upamana,weak,approved,master seed v1
"For newcomers in science, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in technology, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in education, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in medicine, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in politics, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in philosophy, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in legal reasoning, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in public debate, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in social media discourse, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
"For newcomers in news analysis, a hash table is similar to a set of labeled drawers: fast lookup, occasional collisions.",Upamana,weak,approved,master seed v1
