id,text,pramana_label
48,The laptop screen flickered once.,Anumana
45,The invoice total surprised me.,Anumana
129,The article described the supply chain as a relay race with broken baton handoffs.,Anumana
199,"Researchers found a thing, no paper named.",Shabda
33,The app looked weird after the update.,Anumana
188,"The manual says read it, so do that.",Shabda
169,NASA's mission press kit lists the launch window and trajectory correction maneuvers.,Shabda
134,The lawyer said the contract was like a fence with gaps big enough for a truck.,Upamana
145,"Depression is like being sad, just snap out of it.",Upamana
90,She failed because she is lazy.,Anumana
194,The government announced something important yesterday.,Shabda
5,The traffic camera still image timestamps the truck crossing the line at 14:02:11.,Anumana
139,"AI is like magic, end of story.",Upamana
159,The IPCC synthesis report concludes that human influence has warmed the climate system unequivocally.,Shabda
197,"Teachers recommend studying, which is vague but official-sounding.",Shabda
115,Overfitting a small dataset is like memorizing flashcards without reading the textbook chapter.,Upamana
65,"Turnout surged in districts with new ballot drop boxes, so the policy may have boosted participation.",Anumana
66,"The bug disappears when threading is disabled, so a race condition is a sensible suspect.",Anumana
81,"The battery drains quickly when location services stay on, so GPS could be responsible.",Anumana
107,A public blockchain resembles a town ledger that anyone can read but no single clerk can erase.,Upamana
192,"Studies show things, according to a headline I saw.",Shabda
124,He said the negotiation felt like chess where both sides could see only half the board.,Anumana
142,Climate is like weather on one rainy day.,Upamana
111,The Krebs cycle is like a revolving assembly line that keeps reusing the same carbon backbone.,Upamana
59,"The student answered every practice question correctly after the tutorial, so she probably understands the core idea.",Anumana
43,"The photo on social media shows a crowd, though the caption is vague.",Pratyaksha
15,"The soil probe reported pH 5.2 in plot B, while plot A measured 6.8 the same afternoon.",Pratyaksha
113,A Bayesian prior is like a gentle hand on the steering wheel before the road data arrive.,Upamana
70,"The malware beacon resolves to the same IP range as prior campaigns, so attribution to the same actor is plausible.",Anumana
54,"The placebo arm improved on mood surveys but not on the biomarker panel, implying the drug's effect may be psychological rather than physiological.",Anumana
106,Gradient descent on a bumpy loss surface is like rolling a ball downhill while it rattles through potholes.,Upamana
161,The university registrar announced that late add requests will not be granted after week two.,Shabda
123,The startup pitch compared their API to a universal translator for software systems.,Upamana
92,"Crime is up, therefore society is collapsing.",Anumana
17,"The patient said the rash itched more at night, and the photo they sent shows raised edges.",Pratyaksha
112,Attention in transformers is similar to a spotlight operator deciding which actors to illuminate on stage.,Upamana
119,"A hash function is like a fingerprint for files: short to store, hard to reverse into the original.",Upamana
2,I could hear water dripping behind the drywall every time the upstairs shower ran.,Anumana
63,"The patient improved after stopping the drug, which is consistent with an adverse reaction.",Anumana
149,"Encryption is like a secret, that's all.",Upamana
200,Cybersecurity experts warn about hackers because hackers are bad.,Shabda
46,The patient chart mentions dizziness without timing or vitals.,Anumana
60,"Packet loss correlates with peak-hour congestion but not with hardware swaps, so the issue is likely capacity, not faulty NICs.",Anumana
51,Bond yields inverted again last quarter; historically that pattern often precedes recessions within eighteen months.,Anumana
155,The Supreme Court syllabus summarizes the holding without replacing the full opinion.,Anumana
168,The court filing quotes the statute verbatim when arguing that mens rea must be proven.,Shabda
58,"The contract uses the term 'delivery' in two different senses in adjacent clauses, so courts may apply the narrower reading.",Pratyaksha
41,The device felt hot in my hand.,Anumana
89,The stock will moon because everyone online is bullish.,Anumana
7,The smartphone accelerometer log shows a spike of 3.2 g right before the screen went black.,Pratyaksha
143,Courts are like comment sections with robes.,Upamana
131,The slide deck compared cloud storage to renting a locker you never visit in person.,Upamana
136,The tweet said studying for boards is like drinking from a firehose.,Upamana
75,"The server logs spike at noon daily, so lunch-hour traffic could be the cause.",Anumana
11,"The river gauge downstream read 4.1 meters at dawn, which is above the local flood-watch threshold.",Pratyaksha
163,The city council minutes record a unanimous vote to adopt the revised zoning map.,Anumana
162,The Cochrane review pooled twelve trials and reported a modest mortality benefit with confidence intervals that exclude zero.,Shabda
61,"The suspect had motive, access, and opportunity on the night in question, which makes guilt a reasonable working hypothesis for investigators.",Anumana
178,"The coach told players to stretch before practice, citing sports-medicine advice.",Shabda
32,"Something felt off about the room, but I cannot point to a single detail.",Anumana
83,"The cough lasted three weeks, so antibiotics might be worth discussing with a clinician.",Anumana
198,The guidebook states the temple is old.,Anumana
21,"The neighbor's dog barked nonstop during the storm, which kept waking people on our street.",Anumana
103,The heart's chambers and valves act like a double pump that keeps pressure in two separate loops.,Upamana
12,I watched the toddler pull at her ear repeatedly during the pediatric visit.,Pratyaksha
166,The annual report discloses a material weakness in internal controls over financial reporting.,Shabda
84,"The graph's shortest path length grew after the node removal, so that node was probably a bridge.",Anumana
126,The essay likened urban sprawl to an ink stain spreading outward from the city center.,Upamana
137,"Politics is like sports, so just pick a team.",Upamana
144,"A company is like a family, so firing anyone is betrayal.",Upamana
138,"The economy is like my household budget, exactly the same.",Upamana
3,The lab printout shows ketones in the urine sample collected at admission.,Pratyaksha
110,A Bloom filter works like a compact guest list that may mistakenly admit a stranger but rarely rejects a true guest.,Upamana
97,One cold winter proves climate change is fake.,Anumana
121,The new policy works like a speed bump: it slows everyone down but reduces collisions at the intersection.,Upamana
158,The hospital policy manual mandates two patient identifiers before blood administration.,Shabda
189,"According to someone online, vaccines are suspicious.",Shabda
182,The agency bulletin states vendors must patch the vulnerability within thirty days.,Shabda
128,The professor said memory is like a library where some books are mis-shelved.,Upamana
141,"The brain is like a computer, so we can download thoughts.",Upamana
27,The referee's bodycam footage shows the player’s foot making contact before the ball arrived.,Pratyaksha
165,The professor stated in the syllabus that calculators are not permitted on the midterm.,Shabda
69,"The strata are folded, so compressive forces probably acted after deposition.",Anumana
4,"On the factory floor, the torque wrench clicked at 45 Nm exactly as the work instruction specified.",Pratyaksha
170,The journal's referee report recommends major revision before the paper can be accepted.,Shabda
96,"Grades dropped, so phones are ruining education.",Anumana
14,The concert recording has clipping on the left channel in every chorus segment.,Pratyaksha
135,The tour guide compared the canyon layers to pages in a geology textbook.,Shabda
164,The cybersecurity advisory attributes the campaign to a known group and lists recommended mitigations.,Anumana
127,The therapist compared grief to a wave that returns without warning.,Upamana
88,It will rain tomorrow because the sky looks bad.,Anumana
146,The internet is like a tube where messages go.,Upamana
40,"The lab result came back flagged, but nobody explained the units.",Anumana
8,"In the lecture hall, the projector image was visibly shifted two inches to the left of the screen border.",Anumana
116,A causal diagram is analogous to a map of one-way streets between variables.,Upamana
53,"GPU utilization pegs at 100% while CPU stays under 15% during training jobs, which suggests the pipeline is GPU-bound.",Anumana
22,The spreadsheet column for March has more blank cells than February in the sales export.,Anumana
1,The ward nurse wrote that the patient's oxygen saturation stayed at 88% for twenty minutes after the walk test.,Anumana
154,The textbook defines gross domestic product as the market value of final goods and services produced domestically in a period.,Shabda
177,Analysts in the bank note predict slower consumer spending next quarter.,Shabda
28,The greenhouse humidity sensor flatlined at 99% for an hour overnight.,Pratyaksha
195,"Reports indicate drama, details not included.",Shabda
44,The garden looks worse than last week.,Anumana
20,The receipt lists three separate delivery attempts on the same day.,Anumana
47,The water in the creek seemed low.,Anumana
179,Researchers in the preprint claim their method beats the baseline on three benchmarks.,Shabda
102,A firewall in a corporate network functions like a bouncer who checks IDs before anyone enters the club.,Upamana
147,Evolution is like a ladder with humans on top.,Upamana
19,I noticed the laptop fan spinning loudly even when no applications were open.,Pratyaksha
68,"If the lemma holds for n and n+1, then by induction it holds for all positive integers.",Anumana
171,Experts on the panel said the bridge design meets the updated seismic standard.,Shabda
85,"The portfolio underperformed the index in a bull market, so stock selection may have lagged.",Anumana
190,A doctor on TV said this herb fixes everything.,Anumana
6,"During the field survey, we counted fourteen nests along the eastern ridge, not the six reported last year.",Pratyaksha
72,"He missed two shifts and sounds congested on the phone, so he may be ill.",Anumana
57,"If tariffs rise and import volume is unchanged, consumer prices should increase in equilibrium.",Anumana
26,"The pharmacy label says take with food, and the pill color matches the photo in the pamphlet.",Anumana
23,The hiking group reported slippery granite on the north face after the morning frost.,Pratyaksha
109,Electric current in a wire is often explained like water flowing through a pipe with pressure as voltage.,Anumana
24,The ultrasound technician pointed out a shadow along the lower margin of the image.,Pratyaksha
157,The engineering code requires a safety factor of 1.5 for lifting hooks in this load class.,Anumana
87,They are probably lying because I do not trust them.,Anumana
64,"The ciphertext letter frequencies match English, so this is unlikely to be random noise.",Anumana
193,Historians believe because it sounds dramatic.,Shabda
35,The meeting seemed tense.,Anumana
100,"A single study failed to replicate, so all of psychology is wrong.",Shabda
176,The software license forbids redistribution without attribution and a copy of the terms.,Shabda
86,"The error only happens on Safari, so a browser-specific bug is possible.",Anumana
185,The union memo says overtime must be authorized in writing by a supervisor.,Anumana
150,Democracy is like a popularity contest with no rules.,Upamana
82,"Enrollment dropped after the fee hike announcement, so price sensitivity may be showing up.",Anumana
120,Teaching recursion to beginners is like pointing at nested Russian dolls and asking what is inside the next one.,Upamana
175,Historians in the documentary argue that trade routes declined after the river shifted course.,Shabda
133,The nurse explained insulin timing using a key-and-lock metaphor for receptors.,Upamana
25,The city noise app flagged sustained readings above 70 dB near the construction zone.,Pratyaksha
153,Reuters reported that the central bank held rates steady after citing moderating headline inflation.,Shabda
174,The news wire said the minister will present the budget on Thursday morning.,Shabda
42,There was a smell in the hallway.,Anumana
101,Training a neural network is like teaching a student who improves only after seeing many worked examples with feedback.,Shabda
50,The lecture slides were hard to read from the back row.,Pratyaksha
94,"Inflation is high, so the government is definitely corrupt.",Anumana
77,"The startup burned cash faster after hiring sales staff, so the new payroll may be straining runway.",Anumana
99,"Traffic was bad, therefore the city planner is useless.",Anumana
140,Vaccines are like cheating the immune system.,Upamana
9,"The tasting panel's sheet describes the wine as metallic with a sharp finish, with no fruit notes circled.",Anumana
16,The dashboard showed zero completed uploads between midnight and 06:00.,Pratyaksha
91,"The project failed, so the manager must be incompetent.",Anumana
98,"The team lost, so the coach should be fired immediately.",Shabda
132,The comment thread treated the debate like a tennis match with no umpire.,Upamana
183,The encyclopedia entry summarizes the war's causes without citing primary archives.,Shabda
36,The street was noisy last night.,Anumana
95,"The patient recovered, therefore the home remedy cured them.",Anumana
114,Market liquidity is like oil in an engine: everything seizes when it disappears.,Upamana
37,The report had a lot of numbers I did not check.,Shabda
10,The security badge reader beeped red when I scanned the expired contractor pass.,Anumana
67,"The ruins contain Roman coins in the upper layer, so occupation during that period is likely.",Anumana
108,The CPU scheduling queue is analogous to a restaurant kitchen ticket rail during dinner rush.,Upamana
18,The classroom thermometer read 31°C near the windows after the AC was switched off.,Pratyaksha
125,The coach said defending is like holding a umbrella against wind from many directions at once.,Upamana
80,"Crime reports fell after the streetlights were upgraded, so lighting might have mattered.",Shabda
74,"The exam average was low, so the test might have been difficult.",Anumana
196,"According to my uncle, markets always crash in October.",Shabda
173,Doctors on the clinic website recommend staying hydrated during prolonged heat advisories.,Shabda
30,The bus driver announced a detour because the main bridge was closed to traffic.,Anumana
34,I think the food tasted funny.,Anumana
172,"The teacher explained that plagiarism includes uncited paraphrase, not only copied sentences.",Shabda
160,The RFC specifies that clients must send a supported-versions frame before application data.,Anumana
117,Debugging intermittent failures is like chasing a ghost that only appears when the lights are off.,Upamana
156,Nature's editorial board states that authors must provide data availability statements for new submissions.,Anumana
167,The medical society guideline recommends screening adults aged 45 to 75 for colorectal cancer.,Shabda
31,The pulse oximeter on my finger read 91% while I was sitting still after climbing the stairs.,Pratyaksha
