id,text
96,"Grades dropped, so phones are ruining education."
16,The dashboard showed zero completed uploads between midnight and 06:00.
31,The pulse oximeter on my finger read 91% while I was sitting still after climbing the stairs.
159,The IPCC synthesis report concludes that human influence has warmed the climate system unequivocally.
129,The article described the supply chain as a relay race with broken baton handoffs.
116,A causal diagram is analogous to a map of one-way streets between variables.
70,"The malware beacon resolves to the same IP range as prior campaigns, so attribution to the same actor is plausible."
171,Experts on the panel said the bridge design meets the updated seismic standard.
175,Historians in the documentary argue that trade routes declined after the river shifted course.
46,The patient chart mentions dizziness without timing or vitals.
67,"The ruins contain Roman coins in the upper layer, so occupation during that period is likely."
183,The encyclopedia entry summarizes the war's causes without citing primary archives.
166,The annual report discloses a material weakness in internal controls over financial reporting.
79,"The model overfits on the training split, so regularization should help."
187,"Experts believe stuff, trust me."
178,"The coach told players to stretch before practice, citing sports-medicine advice."
57,"If tariffs rise and import volume is unchanged, consumer prices should increase in equilibrium."
153,Reuters reported that the central bank held rates steady after citing moderating headline inflation.
83,"The cough lasted three weeks, so antibiotics might be worth discussing with a clinician."
69,"The strata are folded, so compressive forces probably acted after deposition."
125,The coach said defending is like holding a umbrella against wind from many directions at once.
17,"The patient said the rash itched more at night, and the photo they sent shows raised edges."
149,"Encryption is like a secret, that's all."
94,"Inflation is high, so the government is definitely corrupt."
66,"The bug disappears when threading is disabled, so a race condition is a sensible suspect."
61,"The suspect had motive, access, and opportunity on the night in question, which makes guilt a reasonable working hypothesis for investigators."
85,"The portfolio underperformed the index in a bull market, so stock selection may have lagged."
68,"If the lemma holds for n and n+1, then by induction it holds for all positive integers."
126,The essay likened urban sprawl to an ink stain spreading outward from the city center.
133,The nurse explained insulin timing using a key-and-lock metaphor for receptors.
10,The security badge reader beeped red when I scanned the expired contractor pass.
19,I noticed the laptop fan spinning loudly even when no applications were open.
56,"The fossil sequence shows gradual transitions between forms, which supports gradual change rather than single-event saltation."
76,"The plant wilted after we moved it to the windowsill, so too much direct sun might be the issue."
151,"According to the WHO infection-prevention checklist, hand hygiene remains the first line of defense in clinical settings."
105,The immune system behaves like a layered defense force that remembers previous invaders.
136,The tweet said studying for boards is like drinking from a firehose.
